user_id,cluster
1286,2
1287,1
1288,1
1289,0
1290,0
1291,1
1292,0
1293,1
1294,0
1295,0
1296,1
1297,1
1298,1
1299,0
1300,1
1301,2
1302,0
1303,1
1304,2
1305,1
1306,0
1307,0
1308,2
1309,2
1310,0
1311,0
1312,0
1313,0
1314,1
1315,1
1316,0
1317,2
1318,0
1319,0
1320,1
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,1
1328,0
1329,0
1330,1
1331,1
1332,0
1333,1
1334,0
1335,0
1336,0
1337,1
1338,0
1339,2
1340,0
1341,0
1342,2
1343,2
1344,1
1345,1
1346,0
1347,2
1348,1
1349,2
1350,0
1351,2
1352,2
1353,0
1354,1
1355,0
1356,0
1357,0
1358,1
1359,1
1360,1
1361,1
1362,1
1363,0
1364,0
1365,2
1366,1
1367,0
1368,1
1369,0
1370,2
1371,1
1372,0
1373,0
1374,0
1375,1
1376,0
1377,0
1378,2
1379,0
1380,0
1381,1
1382,0
1383,0
1384,2
1385,0
1386,1
1387,0
1388,1
1389,1
1390,1
1391,0
1392,0
1393,1
1394,0
1395,0
1396,0
1397,0
1398,1
1399,0
1400,1
1401,0
1402,2
1403,1
1404,1
1405,0
1406,0
1407,0
1408,1
1409,1
1410,0
1411,1
1412,2
1413,1
1414,2
1415,1
1416,0
1417,2
1418,1
1419,1
1420,0
1421,0
1422,1
1423,0
1424,0
1425,0
1426,1
1427,0
1428,0
1429,0
1430,1
1431,2
1432,1
1433,0
1434,0
1435,1
1436,1
